t1,t2,n,accuracy,balanced_accuracy,f1_macro,kappa
0.32,0.7000000000000001,129,0.7286821705426356,0.6562701093951094,0.657609836557205,0.5563089622641509
0.32,0.72,129,0.7209302325581395,0.626875,0.6240461293092872,0.536388140161725
0.32,0.74,129,0.7209302325581395,0.6183519647696477,0.6143031571603,0.532608695652174
0.32,0.76,129,0.7364341085271318,0.6312435300207039,0.6313553113553114,0.5554429353334684
0.32,0.78,129,0.751937984496124,0.6413915945165946,0.6492709904474611,0.5770491803278689
0.32,0.8,129,0.7364341085271318,0.596875,0.5793288472533755,0.5446428571428571
0.32,0.8200000000000001,129,0.7364341085271318,0.5663785460992908,0.5226107226107226,0.5361675126903553
0.32,0.84,129,0.7441860465116279,0.5677083333333334,0.5265419265419266,0.5467901628872565
0.32,0.86,129,0.7751937984496124,0.5725160256410257,0.5415830546265329,0.5907449950771251
0.32,0.88,129,0.7829457364341085,0.5736045597484277,0.5451812555260831,0.6021150033046927
0.32,0.9,129,0.7906976744186046,0.5746527777777778,0.5487179487179487,0.6136439267886855
0.32,0.92,129,0.8062015503875969,0.5766369047619048,0.5556130144365438,0.6371920350995612
0.32,0.9400000000000001,129,0.8062015503875969,0.5766369047619048,0.5556130144365438,0.6371920350995612
0.32,0.96,129,0.8294573643410853,0.5793608757062146,0.5655317360235393,0.6737931034482758
0.32,0.98,129,0.8449612403100775,0.5810280054644809,0.5718775847808106,0.6990902729181245
0.32,1.0,129,0.8527131782945736,0.5818212365591399,0.5749743589743589,0.7120197391610856
0.34,0.36,129,0.8914728682170543,0.8918269230769231,0.596450804430431,0.7847437425506556
0.34,0.38,129,0.8837209302325582,0.59375,0.5958338469123629,0.772647162495594
0.34,0.4,129,0.8682170542635659,0.5876322751322751,0.5920684063098923,0.7476119231211877
0.34,0.42,129,0.8217054263565892,0.5638661202185792,0.5770281559755244,0.6752052545155993
0.34,0.44,129,0.813953488372093,0.6967364532019705,0.6622182053599471,0.676184499529338
0.34,0.46,129,0.7906976744186046,0.6682800224466892,0.6565947915766427,0.6430986781432524
0.34,0.48,129,0.7596899224806202,0.6435886644219978,0.6279367721015318,0.5973215184774947
0.34,0.5,129,0.7596899224806202,0.6589360587002097,0.6404344193817878,0.5996195434521425
0.34,0.52,129,0.7441860465116279,0.6687091503267973,0.6447317480693604,0.5811688311688312
0.34,0.54,129,0.7209302325581395,0.6352040816326531,0.6208042553071792,0.5451072583014986
0.34,0.56,129,0.7131782945736435,0.6473588863463005,0.6298702499135087,0.5391077636152954
0.34,0.58,129,0.7131782945736435,0.654491341991342,0.6368457375322364,0.5406159769008662
0.34,0.6,129,0.7364341085271318,0.6791666666666667,0.6730196392620896,0.5768451519536903
0.34,0.62,129,0.7596899224806202,0.7030755850727388,0.7081974106651083,0.6114835324978141
0.34,0.64,129,0.7364341085271318,0.6723484848484849,0.6757079738334243,0.5735951779117248
0.34,0.66,129,0.7286821705426356,0.6625631313131314,0.6618331543143574,0.5611818446885023
0.34,0.68,129,0.7441860465116279,0.676826375711575,0.6785296574770259,0.5837488999706659
0.34,0.7000000000000001,129,0.751937984496124,0.6718951093951094,0.6732060035145335,0.5910846953937593
0.34,0.72,129,0.7441860465116279,0.6425,0.6393553052591954,0.571945701357466
0.34,0.74,129,0.7441860465116279,0.6339769647696477,0.629406850459482,0.5685618729096991
0.34,0.76,129,0.7596899224806202,0.6468685300207039,0.6466036224582073,0.5919387755102041
0.34,0.78,129,0.7751937984496124,0.6570165945165946,0.664647243594612,0.6143298969072165
0.34,0.8,129,0.7596899224806202,0.6125,0.5943676490431729,0.5823498694516971
0.34,0.8200000000000001,129,0.7596899224806202,0.5820035460992908,0.53751200430984,0.5748006379585326
0.34,0.84,129,0.7674418604651163,0.5833333333333334,0.5414926204399889,0.5858747993579455
0.34,0.86,129,0.7984496124031008,0.5881410256410257,0.556704260651629,0.6316309719934101
0.34,0.88,129,0.8062015503875969,0.5892295597484277,0.5603389003482157,0.6434494195688225
0.34,0.9,129,0.813953488372093,0.5902777777777778,0.5639097744360902,0.6554257095158598
0.34,0.92,129,0.8294573643410853,0.5922619047619048,0.5708668222279837,0.6798646362098139
0.34,0.9400000000000001,129,0.8294573643410853,0.5922619047619048,0.5708668222279837,0.6798646362098139
0.34,0.96,129,0.8527131782945736,0.5949858757062146,0.5808639245171753,0.7177892918825561
0.34,0.98,129,0.8682170542635659,0.5966530054644809,0.5872532571097164,0.7439579684763573
0.34,1.0,129,0.875968992248062,0.5974462365591399,0.5903693660380459,0.7573192239858906
0.36,0.38,129,0.8837209302325582,0.59375,0.5935894298996819,0.7709517045454546
0.36,0.4,129,0.8682170542635659,0.5876322751322751,0.5898239892972114,0.7457980758085081
0.36,0.42,129,0.8217054263565892,0.5638661202185792,0.5747837389628434,0.6730578512396694
0.36,0.44,129,0.813953488372093,0.6967364532019705,0.6639263575172267,0.6742424242424243
0.36,0.46,129,0.7906976744186046,0.6682800224466892,0.6576344468135513,0.6411498042447971
0.36,0.48,129,0.7596899224806202,0.6435886644219978,0.6282176076141034,0.5951609637578457
0.36,0.5,129,0.7596899224806202,0.6589360587002097,0.6409911228172861,0.5975241545893719
0.36,0.52,129,0.7441860465116279,0.6687091503267973,0.645332859511964,0.5790982796124184
0.36,0.54,129,0.7209302325581395,0.6352040816326531,0.621026364016838,0.5429583702391496
0.36,0.56,129,0.7131782945736435,0.6473588863463005,0.6301396589440657,0.5370963049170789
0.36,0.58,129,0.7131782945736435,0.654491341991342,0.637198723116958,0.5387068715569732
0.36,0.6,129,0.7364341085271318,0.6791666666666667,0.6735074626865671,0.5752469494479953
0.36,0.62,129,0.751937984496124,0.6923228969006958,0.6987164491024501,0.5976608187134502
0.36,0.64,129,0.7286821705426356,0.6619318181818182,0.6667410809201854,0.5596840257460504
0.36,0.66,129,0.7209302325581395,0.6521464646464646,0.6531559887636647,0.5472360339280491
0.36,0.68,129,0.7364341085271318,0.6670224541429475,0.6703780674685643,0.5698734922035893
0.36,0.7000000000000001,129,0.7441860465116279,0.6628861003861004,0.6657045251100678,0.5771752085816448
0.36,0.72,129,0.7364341085271318,0.6341666666666667,0.6321737963529008,0.5579074690051405
0.36,0.74,129,0.7364341085271318,0.6258468834688347,0.6223845312444868,0.5544494108086144
0.36,0.76,129,0.751937984496124,0.638932022084196,0.6397773039564084,0.5778277766414399
0.36,0.78,129,0.7674418604651163,0.649440836940837,0.6580051078984981,0.600206611570248
0.36,0.8,129,0.751937984496124,0.6050925925925926,0.5878716932272684,0.56802009208874
0.36,0.8200000000000001,129,0.751937984496124,0.5749113475177304,0.5312118652022905,0.5602897315722198
0.36,0.84,129,0.7596899224806202,0.5763888888888888,0.5352675872971591,0.571336692035588
0.36,0.86,129,0.7906976744186046,0.5817307692307693,0.5507597149388195,0.6169580996370834
0.36,0.88,129,0.7984496124031008,0.5829402515723271,0.5544598436389482,0.6287358866504318
0.36,0.9,129,0.8062015503875969,0.5841049382716049,0.5580944833355347,0.6406685236768803
0.36,0.92,129,0.8217054263565892,0.5863095238095238,0.5651741293532339,0.6650107259794513
0.36,0.9400000000000001,129,0.8217054263565892,0.5863095238095238,0.5651741293532339,0.6650107259794513
0.36,0.96,129,0.8449612403100775,0.5893361581920904,0.5753436208786575,0.7027649769585254
0.36,0.98,129,0.8604651162790697,0.5911885245901639,0.5818407960199005,0.7288016818500349
0.36,1.0,129,0.8682170542635659,0.5920698924731184,0.5850088400970356,0.7420910266964601
0.38,0.4,129,0.875968992248062,0.5879527879527879,0.5903361344537815,0.7570621468926554
0.38,0.42,129,0.8294573643410853,0.564186633039092,0.5752958841194135,0.6829758713136729
0.38,0.44,129,0.813953488372093,0.6653109342764515,0.6401960784313726,0.6702875399361022
0.38,0.46,129,0.7906976744186046,0.6473884140550807,0.639831573655103,0.6371118983121483
0.38,0.48,129,0.7596899224806202,0.6226970560303894,0.6120630861040068,0.59085328422345
0.38,0.5,129,0.7596899224806202,0.6415798038439547,0.626797385620915,0.5933496034167176
0.38,0.52,129,0.7441860465116279,0.6562091503267974,0.6344414958966043,0.5750648832102215
0.38,0.54,129,0.7209302325581395,0.6230245944531659,0.6105723530002184,0.5387365911799761
0.38,0.56,129,0.7131782945736435,0.638907469342252,0.6223818294441065,0.5332485820457656
